key|message|comments*
*Comments are ignored by the plugin
no-permission|Sie haben keine Rechte dafür!
no-permission-join|Sie haben keine Rechte um das Spiel zu betreten!
no-permission-quit|Sie haben keine Rechte um das Spiel zu verlassen!
no-permission-import|Sie haben keine Rechte um eine Map zu importieren!
usage-1|Benutzung: /ttt [Befehl]
usage-join|Usage: /ttt join [Weltname]
usage-import|Usage: /ttt import [Weltname]
invalid-args-1|Sie hasten eine Variable vergessen!
invalid-args-2|Der Befehl kann nicht ausgeführt werden!
not-in-game|Sie sind in keinem Spiel!
must-be-ingame|Sie können diesen Befehl nur in einem Spiel ausführen!
in-progress|Das Spiel hat bereits begonnen!
waiting|Es wird auf Spieler gewartet..
arena-invalid|Fehler: Diese Map existiert nicht!
round-starting|Spiel wird gestartet!
creator|Ersteller von TTT
alpha-tester|Alpha Tester von TTT
tester|Tester von TTT
translator|Übersetzer von TTT
success-join|Sie haben das Spiel betreten!
metrics-fail|MCStats könnte nicht gestartet werden!
enabled|wurde aktiviert!
disabled|wurde deaktiviert!
import-success|Map erfolgreich importiert!
folder-error|Fehler: neue Welt konnte nicht erstellt werden.
already-imported|Diese Map gibt es bereits!
cannot-load-world|Die angegebene Welt kann nicht geladen werden, und ist daher ungültig oder beschädigt.
start-error|Der Weltname muss mit "TTT_" beginnen!
folder-not-found|Fehler: Weltordner nicht gefunden.
inv-save-error|Inventar konnte nicht gespeichert werden!
dead|Sie sind Tod! Sie können fliegen und bist unsichtbar.
id|ID
body-of|Das ist der Körper von
innocent|Innocent
traitor|Verräter
detective|Detektiv
innocent-id|Diese Person war innocent.
traitor-id|Diese Person war ein Verräter!
detective-id|Diese Person war ein Detektiv.
joined-map|hat das Spiel betreten.
left-map|hat das Spiel verlassen.
begin|Das Spiel beginnt in %
seconds|Sekunden
minutes|Minuten
you-are-innocent|Sie sind Innocent! Aber Vorsicht! Hier sind Verräter die dich Töten wollen.
you-are-Verräter|Sie sind ein Verräter! Sie müssen alle Innocents töten. Aber Vorsicht! Sie sind in der Unterzahl. Es ist hart zu gewinnen! Lass dich nicht entdecken.
allies|Verräter, diese sind eure Verbündeten:
alone|Sie sind der einzigste Verräter.
begun|Das Spiel hat begonnen!
traitor-win|Die Traitors haben auf Map % gewonnen!
innocent-win|Die Innocents haben auf Map % gewonnen!
inv-load-error|Fehler: Inventar konnte nicht geladen werden!
left|hat das Spiel verlassen!
rollback|Die Welt wurde zurückgesetzt!
found-body|hat den Körper von % gefunden!
was-innocent|Sie waren ein Innocent.
was-traitor|Sie waren ein Verräter!
was-detective|Sie waren ein Detektiv.
need-ammo|Sie brauchen mehr Munition!
discreet|Suche Körper von diskret.
no-drop|Sie können im Spiel keine Items droppen!
you-are-detective|Sie sind Detektiv! Sie würden mit einem DNA Scanner ausgerüstet mit dem Sie DNA Proben von Leichen nehmen kannst um den Mörder zu finden. Benutzen Sie dieses Gerät zu Ihrem Vorteil um die Traitors zu eliminieren.
collected-sample|DNA von Leiche des Spielers % wurde aufgenommen
crowbar|Brecheisen
gun|Waffe
dna-scanner|DNA Scanner
killer-left|Der Mörder dieses Spielers ist nicht mehr im Spiel
dna-decay|Diese DNA Probe wird in % verschwinden
karma|Karma
karma-damage|Ihre Karma ist % also machen Sie % Schaden in dieser Runde
full|voll
left-game|hat die Map % verlassen!
commands|Verfügbare Befehle für Sie:
import-help|Imports eine Welt aus einem bestimmten Ordner in zu den Plugin
join-help|Versetzen Sie in einer angegebenen Spiel
quit-help|Entfernen Sie aus Ihrem aktuellen Spiel
spawn-help|Setzt den Spawn-Punkt auf Runde beenden um zu Ihren aktuellen Standort
help-help|Zeigt diese Hilfe-Menü
permaban|Sie würden dauerhaft von der Nutzung TTT auf diesem Server verboten
karma-permaban|Sie würden dauerhaft von der Nutzung TTT auf diesem Server verboten, weil Ihr Karma unter % gesunken ist
ban|Ihr Nutzung von TTT auf diesem Server für % wurde verboten
karma-ban|Ihr Nutzung von TTT auf diesem Server für % wurde verboten, weil Ihr Karma unter % gesunken ist
karma-kick|You were automatically removed from the round because your karma is below 550
ban-fail|Fehler beim Player-Verbot für % registrieren
